Qatar vs Ecuador
Senegal vs Paises Bajos
Qatar vs Senegal
Paises Bajos vs Ecuador
Ecuador vs Senegal
Paises Bajos vs Qatar
Inglaterra vs Irán
Estados Unidos vs Gales
Gales vs Irán
Inglaterra vs Estados Unidos
Gales vs Inglaterra
Irán vs Estados Unidos
Argentina vs Arabia Saudi
México vs Polonia
Polonia vs Arabia Saudi
Argentina vs México
Polonia vs Argentina
Arabia Saudi vs México
Dinamarca vs Túnez
Francia vs Australia
Túnez vs Australia
Francia vs Dinamarca
Australia vs Dinamarca
Túnez vs Francia
